1, 530 1 69 106 478;
2, 487 1 76 101 547;
3, 468 1 71 90 521;
4, 482 1 73 98 515;
5, 475 1 74 95 526;
6, 487 1 71 90 520;
7, 469 2 61 68 489;
8, 512 2 62 79 510;
9, 504 2 64 74 479;
10, 454 2 66 66 491;
11, 486 2 68 81 473;
12, 491 2 62 71 328;
13, 482 1 71 95 496;
14, 494 1 78 93 582;
15, 485 1 73 98 557;
16, 498 1 74 90 547;
17, 499 1 76 101 507;
18, 491 1 73 98 506;
19, 494 2 62 79 433;
20, 479 2 64 79 511;
21, 479 2 66 66 473;
22, 464 2 68 72 483;
23, 497 2 69 86 443;
24, 489 2 64 74 495;
25, 502 1 69 101 475;
26, 472 1 71 86 526;
27, 481 1 73 84 566;
28, 498 1 74 86 531;
29, 486 1 73 88 486;
30, 501 2 71 69 519;
31, 537 1 69 111 -999;
