1, 527 2 69 42 575;
2, 518 2 71 74 525;
3, 473 2 73 75 549;
4, 507 2 74 95 538;
5, 472 2 73 60 579;
6, 524 2 76 77 466;
7, 649 1 66 1 637;
8, 465 1 68 13 495;
9, 456 1 61 33 563;
10, 471 1 62 79 523;
11, 488 1 64 86 467;
12, 454 1 62 77 414;
13, 562 2 71 54 535;
14, 480 2 73 93 527;
15, 484 2 74 111 476;
16, 472 2 76 111 492;
17, 470 2 74 101 512;
18, 484 2 78 98 523;
19, 486 1 68 78 647;
20, 478 1 69 90 453;
21, 476 1 62 61 564;
22, 475 1 64 82 567;
23, 479 1 66 62 525;
24, 464 1 64 57 492;
25, 495 2 69 54 530;
26, 500 2 71 77 480;
27, 446 2 73 75 530;
28, 504 2 74 101 551;
29, 481 1 73 78 517;
30, 464 2 71 71 527;
31, 508 2 69 61 -999;
