1, 503 1 69 69 516;
2, 465 1 73 66 500;
3, 503 1 76 82 525;
4, 482 1 74 79 546;
5, 488 1 73 88 530;
6, 491 1 71 67 515;
7, 521 2 61 57 519;
8, 509 2 64 82 466;
9, 474 2 68 93 545;
10, 496 2 66 88 550;
11, 507 2 64 77 493;
12, 512 2 62 77 459;
13, 502 1 71 65 547;
14, 507 1 74 74 529;
15, 502 1 78 81 549;
16, 462 1 76 86 563;
17, 507 1 74 79 537;
18, 485 1 73 84 501;
19, 537 2 62 67 549;
20, 505 2 66 84 519;
21, 509 2 69 101 555;
22, 496 2 68 93 554;
23, 479 2 66 57 570;
24, 533 2 64 61 454;
25, 502 1 69 67 507;
26, 478 1 71 69 528;
27, 502 1 73 72 497;
28, 529 2 74 95 547;
29, 501 1 73 75 538;
30, 502 1 71 69 445;
31, 493 2 69 35 -999;
