1, 520 1 69 79 538;
2, 473 1 73 98 506;
3, 495 1 76 95 527;
4, 497 1 74 86 551;
5, 506 1 73 84 477;
6, 474 1 71 79 499;
7, 517 2 61 58 518;
8, 491 2 64 86 471;
9, 473 2 68 81 534;
10, 503 2 66 78 483;
11, 491 2 64 82 477;
12, 474 2 62 95 543;
13, 487 1 71 82 532;
14, 492 1 74 90 500;
15, 473 1 78 84 516;
16, 487 1 76 90 525;
17, 504 1 74 82 509;
18, 493 1 73 93 523;
19, 520 2 62 79 516;
20, 478 2 66 81 484;
21, 479 2 69 79 506;
22, 470 2 68 17 543;
23, 482 2 66 81 500;
24, 456 2 64 86 540;
25, 527 1 69 90 489;
26, 490 1 71 86 535;
27, 499 1 73 88 505;
28, 488 1 74 86 532;
29, 485 1 73 78 495;
30, 492 1 71 79 540;
31, 497 1 69 86 -999;
