1, 533 2 69 77 481;
2, 488 2 71 74 474;
3, 463 2 73 78 480;
4, 497 2 74 86 543;
5, 503 2 73 78 506;
6, 510 2 76 95 512;
7, 499 1 66 84 464;
8, 472 1 68 98 487;
9, 483 1 61 64 535;
10, 497 1 62 86 511;
11, 479 1 64 86 488;
12, 471 1 62 82 496;
13, 498 2 71 65 505;
14, 460 2 73 70 511;
15, 472 2 74 86 471;
16, 504 2 76 90 459;
17, 480 2 74 86 508;
18, 476 2 78 93 526;
19, 493 1 68 75 545;
20, 512 1 69 61 438;
21, 478 1 62 65 546;
22, 475 1 64 86 505;
23, 471 1 66 81 500;
24, 506 1 64 44 482;
25, 478 2 69 57 494;
26, 483 2 71 74 486;
27, 470 2 73 75 509;
28, 500 2 74 95 489;
29, 450 2 73 78 554;
30, 504 2 71 74 521;
31, 471 2 69 61 -999;
