1, 508 2 69 69 526;
2, 476 2 73 68 463;
3, 482 2 76 77 491;
4, 459 2 74 101 497;
5, 465 2 73 70 455;
6, 468 2 71 59 469;
7, 481 1 61 70 460;
8, 453 1 64 63 539;
9, 493 1 68 78 442;
10, 396 1 66 70 484;
11, 444 1 64 44 493;
12, 467 1 62 63 535;
13, 486 2 71 71 456;
14, 445 2 74 82 440;
15, 455 2 78 88 472;
16, 441 2 76 106 425;
17, 453 2 74 86 408;
18, 440 2 73 39 582;
19, 465 1 62 71 474;
20, 451 1 66 84 468;
21, 470 1 69 77 509;
22, 466 1 68 88 525;
23, 475 1 66 68 497;
24, 444 1 64 40 554;
25, 439 2 69 61 476;
26, 432 2 71 61 482;
27, 449 2 73 66 449;
28, 504 1 74 63 463;
29, 458 1 73 75 455;
30, 454 1 71 59 496;
31, 514 1 69 52 223;
